strategy,symbol,signal_date,signal_time,score,entry,stop,target_1r,target_2r,reason,volume_ratio,volume_ratio_tod,vwap_dist,day_change_at_signal,trade_result_1r,realized_r_1r,target_2r_before_stop,first_1r_at,first_2r_at,first_stop_at,return_1d,mfe_1d,mae_1d,result_1d,return_5d,mfe_5d,mae_5d,result_5d,return_15d,mfe_15d,mae_15d,result_15d,return_30d,mfe_30d,mae_30d,result_30d,return_3m,mfe_3m,mae_3m,result_3m
V3,NVO,2026-08-03,2026-08-03T15:30:00-04:00,81.0,47.185001373291016,46.64905876957307,47.720943977008965,48.25688658072691,confirmed OR breakout; time-normalized volume 2.1x; near support; tradable daily range; broad market bull trend; tight VWAP proximity; strong time-normalized volume,0.9765991015302123,2.109133299716487,0.009377471367334023,0.002230236579283007,WIN_1R,1.0,True,2026-08-04T12:30:00-04:00,2026-08-04T12:30:00-04:00,2026-08-04T12:35:00-04:00,-0.06156622887455321,0.041644592463658814,-0.07428210164468141,DOWN,0.011550241667552585,0.041644592463658814,-0.07428210164468141,UP,-0.0056162593331131605,0.041644592463658814,-0.07428210164468141,DOWN,-0.09865428544056576,0.041644592463658814,-0.10140934000524693,DOWN,,,,PENDING
V1,NVO,2026-08-04,2026-08-04T12:30:00-04:00,73.0,48.130001068115234,47.58292977071312,48.67707236551735,49.22414366291946,holding above VWAP; opening-range breakout; volume 3.6x; 15m momentum; enough daily range,3.648667968510157,11.134103637588787,0.009210495032049515,0.022085387813917556,STOP,-1.0,False,,,2026-08-04T12:35:00-04:00,-0.07479746953929034,-0.050072715435875326,-0.07791398123371884,DOWN,-0.0199460394320643,-0.00810304136699469,-0.07791398123371884,DOWN,0.011011817318408168,0.011011817318408168,-0.07791398123371884,UP,-0.13338877708639085,0.011011817318408168,-0.1383752275007567,DOWN,,,,PENDING
V2,NVO,2026-08-04,2026-08-04T12:30:00-04:00,67.0,48.130001068115234,47.58292977071312,48.67707236551735,49.22414366291946,confirmed OR breakout; time-normalized volume 11.1x; controlled 15m momentum; tradable daily range,3.648667968510157,11.134103637588787,0.009210495032049515,0.022085387813917556,STOP,-1.0,False,,,2026-08-04T12:35:00-04:00,-0.07479746953929034,-0.050072715435875326,-0.07791398123371884,DOWN,-0.0199460394320643,-0.00810304136699469,-0.07791398123371884,DOWN,0.011011817318408168,0.011011817318408168,-0.07791398123371884,UP,-0.13338877708639085,0.011011817318408168,-0.1383752275007567,DOWN,,,,PENDING
V3,NVO,2026-08-04,2026-08-04T12:30:00-04:00,83.0,48.130001068115234,47.58292977071312,48.67707236551735,49.22414366291946,confirmed OR breakout; time-normalized volume 11.1x; controlled 15m momentum; tradable daily range; broad market bull trend; tight VWAP proximity; strong time-normalized volume,3.648667968510157,11.134103637588787,0.009210495032049515,0.022085387813917556,STOP,-1.0,False,,,2026-08-04T12:35:00-04:00,-0.07479746953929034,-0.050072715435875326,-0.07791398123371884,DOWN,-0.0199460394320643,-0.00810304136699469,-0.07791398123371884,DOWN,0.011011817318408168,0.011011817318408168,-0.07791398123371884,UP,-0.13338877708639085,0.011011817318408168,-0.1383752275007567,DOWN,,,,PENDING
V3,NVO,2026-08-18,2026-08-18T12:30:00-04:00,71.0,45.87990188598633,45.22973200896391,46.53007176300875,47.18024164003117,confirmed OR breakout; time-normalized volume 4.1x; tradable daily range; broad market bull trend; tight VWAP proximity; strong time-normalized volume,2.34163428123815,4.096624250879439,0.003152211171431052,0.022279429457978894,WIN_1R,1.0,True,2026-08-19T09:35:00-04:00,2026-08-19T10:15:00-04:00,2026-08-31T09:30:00-04:00,0.013079750208299767,0.028772922841762583,-0.0008696996235431076,UP,0.060595115663814036,0.060595115663814036,-0.0008696996235431076,UP,-0.028768599287228747,0.060595115663814036,-0.029640460688038828,DOWN,,,,PENDING,,,,PENDING
V1,NVO,2026-08-21,2026-08-21T11:00:00-04:00,69.0,46.95500183105469,46.406735345760445,47.50326831634893,48.05153480164317,holding above VWAP; opening-range breakout; volume 2.0x; 15m momentum; near support; enough daily range,1.9855980877738926,1.4953947856180252,0.00364205447229482,0.017663685569729193,WIN_1R,1.0,True,2026-08-25T09:30:00-04:00,2026-08-25T09:30:00-04:00,2026-08-27T09:30:00-04:00,-0.0007454724894978559,0.007347404803585533,-0.008199384968947898,DOWN,-0.028644471691055884,0.03631131828068179,-0.03290388506855002,DOWN,-0.07464595743657554,0.03631131828068179,-0.09019274720910897,DOWN,,,,PENDING,,,,PENDING
V2,NVO,2026-08-25,2026-08-25T11:30:00-04:00,67.0,48.31999969482422,47.8866952856828,48.75330410396564,49.18660851310706,trend 2/3; confirmed OR breakout; time-normalized volume 2.8x; tradable daily range,2.233196493863179,2.795067243005775,0.006744931252446129,0.029838055850682332,STOP,-1.0,False,,,2026-08-26T09:30:00-04:00,-0.023385783842135965,-0.005794676760456752,-0.030008294124529322,DOWN,-0.06622518177048375,-0.005794676760456752,-0.06974335581888969,DOWN,-0.13679637111131004,-0.005794676760456752,-0.1417632143498302,DOWN,,,,PENDING,,,,PENDING
V3,NVO,2026-08-25,2026-08-25T11:30:00-04:00,75.0,48.31999969482422,47.8866952856828,48.75330410396564,49.18660851310706,trend 2/3; confirmed OR breakout; time-normalized volume 2.8x; tradable daily range; sideways market: neutral; tight VWAP proximity; strong time-normalized volume,2.233196493863179,2.795067243005775,0.006744931252446129,0.029838055850682332,STOP,-1.0,False,,,2026-08-26T09:30:00-04:00,-0.023385783842135965,-0.005794676760456752,-0.030008294124529322,DOWN,-0.06622518177048375,-0.005794676760456752,-0.06974335581888969,DOWN,-0.13679637111131004,-0.005794676760456752,-0.1417632143498302,DOWN,,,,PENDING,,,,PENDING
V2,CL,2026-07-01,2026-07-01T12:00:00-04:00,65.0,92.62100219726562,91.97443367257524,93.267570721956,93.91413924664639,trend 3/3; confirmed OR breakout; time-normalized volume 1.9x; tradable daily range,1.1085255787911008,1.8903578228145406,0.004455704343006905,0.01026398220939706,WIN_1R,1.0,True,2026-07-02T09:30:00-04:00,2026-07-02T09:30:00-04:00,2026-07-09T09:30:00-04:00,0.027088835109003062,0.030219884316500245,0.006683102663751717,UP,-0.01739346393169039,0.03658997266890829,-0.020416523201774006,DOWN,-0.027434386434289193,0.03658997266890829,-0.03639565667931355,DOWN,0.0033361559536144725,0.03658997266890829,-0.037259411434248046,UP,,,,PENDING
V3,CL,2026-07-01,2026-07-01T12:00:00-04:00,69.0,92.62100219726562,91.97443367257524,93.267570721956,93.91413924664639,trend 3/3; confirmed OR breakout; time-normalized volume 1.9x; tradable daily range; sideways market: neutral; tight VWAP proximity,1.1085255787911008,1.8903578228145406,0.004455704343006905,0.01026398220939706,WIN_1R,1.0,True,2026-07-02T09:30:00-04:00,2026-07-02T09:30:00-04:00,2026-07-09T09:30:00-04:00,0.027088835109003062,0.030219884316500245,0.006683102663751717,UP,-0.01739346393169039,0.03658997266890829,-0.020416523201774006,DOWN,-0.027434386434289193,0.03658997266890829,-0.03639565667931355,DOWN,0.0033361559536144725,0.03658997266890829,-0.037259411434248046,UP,,,,PENDING
V2,CL,2026-07-02,2026-07-02T12:30:00-04:00,79.0,95.08999633789062,94.45647325522133,95.72351942055992,96.35704250322922,trend 3/3; confirmed OR breakout; time-normalized volume 2.2x; controlled 15m momentum; tradable daily range,1.1240586049536598,2.165117317960391,0.007850654307227645,0.02511852250971547,STOP,-1.0,False,2026-07-07T09:55:00-04:00,,2026-07-06T09:30:00-04:00,-0.017877768574114272,-0.0009464332880068094,-0.03081283824399239,DOWN,-0.02997159095467805,0.009675106044496173,-0.04585122672067765,DOWN,-0.045640934956701185,0.009675106044496173,-0.0614154649574169,DOWN,-0.03302134304949211,0.009675106044496173,-0.06225679248013982,DOWN,,,,PENDING
V3,CL,2026-07-02,2026-07-02T12:30:00-04:00,87.0,95.08999633789062,94.45647325522133,95.72351942055992,96.35704250322922,trend 3/3; confirmed OR breakout; time-normalized volume 2.2x; controlled 15m momentum; tradable daily range; sideways market: neutral; tight VWAP proximity; strong time-normalized volume,1.1240586049536598,2.165117317960391,0.007850654307227645,0.02511852250971547,STOP,-1.0,False,2026-07-07T09:55:00-04:00,,2026-07-06T09:30:00-04:00,-0.017877768574114272,-0.0009464332880068094,-0.03081283824399239,DOWN,-0.02997159095467805,0.009675106044496173,-0.04585122672067765,DOWN,-0.045640934956701185,0.009675106044496173,-0.0614154649574169,DOWN,-0.03302134304949211,0.009675106044496173,-0.06225679248013982,DOWN,,,,PENDING
V2,CL,2026-07-15,2026-07-15T13:00:00-04:00,69.0,91.87000274658203,91.1567309117516,92.58327458141247,93.2965464162429,trend 3/3; confirmed OR breakout; time-normalized volume 2.0x; near support; tradable daily range,1.2778551527428539,1.9617594712035697,0.007218197007881955,0.009227770828842408,WIN_1R,1.0,True,2026-07-16T09:30:00-04:00,2026-07-16T09:35:00-04:00,2026-07-21T09:30:00-04:00,0.023946847528792947,0.02645042160147515,0.005769007983583485,UP,-0.0026124467833761322,0.04419285334945533,-0.023076114979880158,DOWN,0.015347730385991465,0.04419285334945533,-0.029389403471386855,UP,0.002068083229906925,0.04419285334945533,-0.02949819313653479,UP,,,,PENDING
